Year,League,SBs
2016,International,110
2016,International,108
2016,International,105
2016,International,98
2016,International,94
2016,International,93
2016,International,90
2016,International,86
2016,International,85
2016,International,74
2016,International,64
2016,International,62
2016,International,62
2016,International,54
2017,International,143
2017,International,131
2017,International,106
2017,International,101
2017,International,95
2017,International,93
2017,International,92
2017,International,84
2017,International,83
2017,International,64
2017,International,58
2017,International,51
2017,International,51
2017,International,44
2018,International,111
2018,International,83
2018,International,49
2018,International,73
2018,International,60
2018,International,91
2018,International,66
2018,International,124
2018,International,61
2018,International,80
2018,International,60
2018,International,84
2018,International,64
2018,International,78
2019,International,128
2019,International,123
2019,International,120
2019,International,104
2019,International,92
2019,International,78
2019,International,77
2019,International,75
2019,International,72
2019,International,69
2019,International,69
2019,International,68
2019,International,67
2019,International,63
2022,International,192
2022,International,188
2022,International,173
2022,International,172
2022,International,157
2022,International,153
2022,International,153
2022,International,152
2022,International,152
2022,International,138
2022,International,136
2022,International,132
2022,International,130
2022,International,125
2022,International,123
2022,International,119
2022,International,114
2022,International,110
2022,International,107
2022,International,94
2016,Carolina,241
2016,Carolina,169
2016,Carolina,139
2016,Carolina,122
2016,Carolina,117
2016,Carolina,116
2016,Carolina,85
2016,Carolina,72
2017,Carolina,117
2017,Carolina,145
2017,Carolina,128
2017,Carolina,120
2017,Carolina,118
2017,Carolina,111
2017,Carolina,99
2017,Carolina,75
2017,Carolina,75
2017,Carolina,62
2018,Carolina,184
2018,Carolina,155
2018,Carolina,121
2018,Carolina,106
2018,Carolina,101
2018,Carolina,98
2018,Carolina,80
2018,Carolina,79
2018,Carolina,72
2018,Carolina,37
2019,Carolina,156
2019,Carolina,155
2019,Carolina,136
2019,Carolina,93
2019,Carolina,90
2019,Carolina,85
2019,Carolina,73
2019,Carolina,71
2019,Carolina,69
2019,Carolina,58
2022,Carolina,308
2022,Carolina,248
2022,Carolina,228
2022,Carolina,220
2022,Carolina,211
2022,Carolina,201
2022,Carolina,186
2022,Carolina,151
2022,Carolina,142
2022,Carolina,136
2022,Carolina,128
2022,Carolina,124
2016,SouthAtlantic,216
2016,SouthAtlantic,172
2016,SouthAtlantic,171
2016,SouthAtlantic,159
2016,SouthAtlantic,146
2016,SouthAtlantic,141
2016,SouthAtlantic,139
2016,SouthAtlantic,127
2016,SouthAtlantic,122
2016,SouthAtlantic,109
2016,SouthAtlantic,105
2016,SouthAtlantic,87
2016,SouthAtlantic,86
2016,SouthAtlantic,84
2017,SouthAtlantic,229
2017,SouthAtlantic,157
2017,SouthAtlantic,155
2017,SouthAtlantic,148
2017,SouthAtlantic,147
2017,SouthAtlantic,135
2017,SouthAtlantic,127
2017,SouthAtlantic,110
2017,SouthAtlantic,100
2017,SouthAtlantic,92
2017,SouthAtlantic,91
2017,SouthAtlantic,89
2017,SouthAtlantic,79
2017,SouthAtlantic,46
2018,SouthAtlantic,164
2018,SouthAtlantic,150
2018,SouthAtlantic,145
2018,SouthAtlantic,118
2018,SouthAtlantic,115
2018,SouthAtlantic,113
2018,SouthAtlantic,104
2018,SouthAtlantic,90
2018,SouthAtlantic,86
2018,SouthAtlantic,80
2018,SouthAtlantic,78
2018,SouthAtlantic,77
2018,SouthAtlantic,70
2018,SouthAtlantic,65
2019,SouthAtlantic,157
2019,SouthAtlantic,150
2019,SouthAtlantic,146
2019,SouthAtlantic,138
2019,SouthAtlantic,134
2019,SouthAtlantic,132
2019,SouthAtlantic,131
2019,SouthAtlantic,123
2019,SouthAtlantic,106
2019,SouthAtlantic,89
2019,SouthAtlantic,79
2019,SouthAtlantic,61
2019,SouthAtlantic,55
2019,SouthAtlantic,46
2022,SouthAtlantic,230
2022,SouthAtlantic,176
2022,SouthAtlantic,172
2022,SouthAtlantic,168
2022,SouthAtlantic,152
2022,SouthAtlantic,151
2022,SouthAtlantic,137
2022,SouthAtlantic,137
2022,SouthAtlantic,134
2022,SouthAtlantic,130
2022,SouthAtlantic,115
2022,SouthAtlantic,102
2021,Triple-AEast,150
2021,Triple-AEast,148
2021,Triple-AEast,142
2021,Triple-AEast,140
2021,Triple-AEast,124
2021,Triple-AEast,117
2021,Triple-AEast,112
2021,Triple-AEast,99
2021,Triple-AEast,92
2021,Triple-AEast,85
2021,Triple-AEast,82
2021,Triple-AEast,81
2021,Triple-AEast,76
2021,Triple-AEast,71
2021,Triple-AEast,71
2021,Triple-AEast,66
2021,Triple-AEast,65
2021,Triple-AEast,60
2021,Triple-AEast,49
2021,Triple-AWest,128
2021,Triple-AWest,98
2021,Triple-AWest,96
2021,Triple-AWest,94
2021,Triple-AWest,89
2021,Triple-AWest,85
2021,Triple-AWest,84
2021,Triple-AWest,68
2021,Triple-AWest,62
2021,Triple-AWest,53
